touchpoint	file	line	target_iq_capability	source
command_iterator	isabelle-assistant/src/AnalyzePatternsAction.scala	43	iq.command_lookup	        val commands = node.command_iterator().toList
command_iterator	isabelle-assistant/src/AssistantTools.scala	1770	iq.command_lookup	                  for ((cmd, cmdOffset) <- node.command_iterator()) {
command_iterator	isabelle-assistant/src/CommandExtractor.scala	27	iq.command_lookup	        node.command_iterator(targetRange).toList.headOption.map {
command_iterator	isabelle-assistant/src/CommandExtractor.scala	45	iq.command_lookup	        node.command_iterator(targetRange).toList.headOption.map {
command_iterator	isabelle-assistant/src/ContextFetcher.scala	81	iq.command_lookup	      val commandRange = snapshot.node.command_iterator(offset)
command_iterator	isabelle-assistant/src/FindTheoremsAction.scala	141	iq.command_lookup	      val range = snapshot.node.command_iterator(Text.Range(offset, offset + 1))
command_iterator	isabelle-assistant/src/GoalExtractor.scala	169	iq.command_lookup	        .command_iterator(Text.Range(safeOffset, safeEnd))
command_iterator	isabelle-assistant/src/GoalExtractor.scala	208	iq.command_lookup	        val commands = node.command_iterator(Text.Range(0, safeEnd)).toList
command_iterator	isabelle-assistant/src/IQIntegration.scala	430	iq.command_lookup	            .command_iterator(Text.Range(safeOffset, safeEnd))
command_iterator	isabelle-assistant/src/ProofExtractor.scala	29	iq.command_lookup	          val commands = node.command_iterator().toList
document_model_get_model	isabelle-assistant/src/AnalyzePatternsAction.scala	38	iq.document_model_lookup	    Document_Model.get_model(buffer).map { model =>
document_model_get_model	isabelle-assistant/src/AssistantSupport.scala	24	iq.document_model_lookup	    Document_Model.get_model(buffer).exists { model =>
document_model_get_model	isabelle-assistant/src/AssistantTools.scala	1764	iq.document_model_lookup	                Document_Model.get_model(buffer).foreach { model =>
document_model_get_model	isabelle-assistant/src/AssistantTools.scala	2321	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/AssistantTools.scala	2355	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/CommandExtractor.scala	19	iq.document_model_lookup	    Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/CommandExtractor.scala	37	iq.document_model_lookup	    Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/ContextFetcher.scala	78	iq.document_model_lookup	    Document_Model.get_model(buffer).map { model =>
document_model_get_model	isabelle-assistant/src/ExplainErrorAction.scala	45	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/FindTheoremsAction.scala	139	iq.document_model_lookup	    Document_Model.get_model(buffer).map { model =>
document_model_get_model	isabelle-assistant/src/GoalExtractor.scala	202	iq.document_model_lookup	    Document_Model.get_model(buffer).exists { model =>
document_model_get_model	isabelle-assistant/src/GoalExtractor.scala	56	iq.document_model_lookup	    Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/GoalExtractor.scala	85	iq.document_model_lookup	    Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/IQIntegration.scala	419	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/MenuContext.scala	107	iq.document_model_lookup	      Document_Model.get_model(buffer).exists { model =>
document_model_get_model	isabelle-assistant/src/ProofExtractor.scala	24	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/ShowTypeAction.scala	27	iq.document_model_lookup	      Document_Model.get_model(buffer).flatMap { model =>
document_model_get_model	isabelle-assistant/src/SuggestNameAction.scala	140	iq.document_model_lookup	    val theoryName = Document_Model.get_model(buffer).map(_.node_name.theory)
